,IMG,LABEL
10,"[[[ 50  50  50]
  [ 54  54  54]
  [ 69  69  69]
  ...
  [ 67  67  67]
  [ 60  60  60]
  [ 50  50  50]]

 [[ 22  22  22]
  [ 26  26  26]
  [ 30  30  30]
  ...
  [ 46  46  46]
  [ 41  41  41]
  [ 30  30  30]]

 [[ 34  34  34]
  [ 45  45  45]
  [ 50  50  50]
  ...
  [100 100 100]
  [ 76  76  76]
  [ 50  50  50]]

 ...

 [[ 22  22  22]
  [ 27  27  27]
  [ 66  66  66]
  ...
  [ 77  77  77]
  [ 68  68  68]
  [ 42  42  42]]

 [[ 22  22  22]
  [ 22  22  22]
  [ 55  55  55]
  ...
  [ 72  72  72]
  [ 48  48  48]
  [ 26  26  26]]

 [[ 31  31  31]
  [ 31  31  31]
  [ 45  45  45]
  ...
  [101 101 101]
  [ 83  83  83]
  [ 45  45  45]]]",1
11,"[[[ 12  12  12]
  [ 16  16  16]
  [ 20  20  20]
  ...
  [  7   7   7]
  [  4   4   4]
  [  2   2   2]]

 [[ 40  40  40]
  [ 47  47  47]
  [ 49  49  49]
  ...
  [ 27  27  27]
  [ 23  23  23]
  [ 18  18  18]]

 [[ 64  64  64]
  [ 59  59  59]
  [ 67  67  67]
  ...
  [101 101 101]
  [ 84  84  84]
  [ 69  69  69]]

 ...

 [[104 104 104]
  [147 147 147]
  [160 160 160]
  ...
  [124 124 124]
  [ 94  94  94]
  [ 54  54  54]]

 [[105 105 105]
  [146 146 146]
  [158 158 158]
  ...
  [121 121 121]
  [ 89  89  89]
  [ 49  49  49]]

 [[107 107 107]
  [144 144 144]
  [156 156 156]
  ...
  [117 117 117]
  [ 83  83  83]
  [ 46  46  46]]]",1
12,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 72  72  72]
  [ 69  69  69]
  [ 48  48  48]]

 [[  2   2   2]
  [  3   3   3]
  [  5   5   5]
  ...
  [ 79  79  79]
  [ 58  58  58]
  [ 56  56  56]]

 [[ 12  12  12]
  [ 15  15  15]
  [ 20  20  20]
  ...
  [ 79  79  79]
  [ 68  68  68]
  [ 66  66  66]]

 ...

 [[158 158 158]
  [161 161 161]
  [166 166 166]
  ...
  [129 129 129]
  [123 123 123]
  [110 110 110]]

 [[156 156 156]
  [159 159 159]
  [164 164 164]
  ...
  [129 129 129]
  [120 120 120]
  [108 108 108]]

 [[154 154 154]
  [157 157 157]
  [164 164 164]
  ...
  [130 130 130]
  [119 119 119]
  [104 104 104]]]",1
13,"[[[ 10  10  10]
  [  5   5   5]
  [  5   5   5]
  ...
  [  8   8   8]
  [ 10  10  10]
  [ 19  19  19]]

 [[ 12  12  12]
  [  6   6   6]
  [  4   4   4]
  ...
  [  5   5   5]
  [  4   4   4]
  [  9   9   9]]

 [[  6   6   6]
  [  5   5   5]
  [  8   8   8]
  ...
  [  3   3   3]
  [  4   4   4]
  [  5   5   5]]

 ...

 [[ 18  18  18]
  [ 80  80  80]
  [117 117 117]
  ...
  [ 10  10  10]
  [ 11  11  11]
  [  7   7   7]]

 [[  9   9   9]
  [ 76  76  76]
  [114 114 114]
  ...
  [  3   3   3]
  [  4   4   4]
  [  7   7   7]]

 [[  4   4   4]
  [ 72  72  72]
  [112 112 112]
  ...
  [  7   7   7]
  [  7   7   7]
  [ 12  12  12]]]",1
14,"[[[  5   5   5]
  [  5   5   5]
  [  5   5   5]
  ...
  [ 58  58  57]
  [ 46  46  46]
  [ 26  26  26]]

 [[  5   5   5]
  [  4   4   4]
  [  4   4   4]
  ...
  [ 69  68  68]
  [ 97  97  97]
  [ 47  47  47]]

 [[  5   5   5]
  [  8   8   8]
  [ 12  12  12]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[139 139 139]
  [159 159 160]
  [169 169 169]
  ...
  [ 56  56  56]
  [ 43  43  43]
  [ 19  19  19]]

 [[137 137 137]
  [160 160 160]
  [165 165 165]
  ...
  [ 54  54  54]
  [ 41  41  41]
  [ 17  16  17]]

 [[135 135 135]
  [160 159 160]
  [163 163 163]
  ...
  [ 50  50  50]
  [ 37  37  37]
  [ 13  12  13]]]",1
15,"[[[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 2  1  1]
  [ 1  1  1]
  ...
  [25 25 25]
  [26 26 26]
  [16 16 16]]

 [[26 26 26]
  [33 32 33]
  [34 34 34]
  ...
  [58 58 58]
  [54 52 51]
  [41 41 43]]

 ...

 [[ 3  3  3]
  [ 7  7  7]
  [12 12 12]
  ...
  [36 35 34]
  [40 40 41]
  [31 31 32]]

 [[37 36 36]
  [51 50 53]
  [37 37 37]
  ...
  [17 16 15]
  [41 40 41]
  [21 19 19]]

 [[ 2  1  1]
  [ 8  8  8]
  [ 2  2  2]
  ...
  [ 1  1  1]
  [ 2  1  2]
  [ 2  2  2]]]",1
16,"[[[ 12  12  12]
  [  0   0   0]
  [  6   6   6]
  ...
  [  0   0   0]
  [  0   0   0]
  [ 12  12  12]]

 [[  0   0   0]
  [ 11  11  11]
  [111 111 111]
  ...
  [  0   0   0]
  [  0   0   0]
  [ 17  17  17]]

 [[  0   0   0]
  [ 30  30  30]
  [147 147 147]
  ...
  [  0   0   0]
  [  1   1   1]
  [  3   3   3]]

 ...

 [[ 45  45  45]
  [104 104 104]
  [146 146 146]
  ...
  [  0   0   0]
  [  8   8   8]
  [  1   1   1]]

 [[ 57  57  57]
  [115 115 115]
  [152 152 152]
  ...
  [  0   0   0]
  [  8   8   8]
  [  1   1   1]]

 [[ 82  82  82]
  [126 126 126]
  [155 155 155]
  ...
  [  0   0   0]
  [  8   8   8]
  [ 16  16  16]]]",1
17,"[[[ 13  13  13]
  [  7   7   7]
  [  6   6   6]
  ...
  [ 14  14  14]
  [ 10  10  10]
  [  5   5   5]]

 [[ 21  21  21]
  [ 27  27  27]
  [ 32  32  32]
  ...
  [ 34  34  34]
  [ 33  33  33]
  [ 28  28  28]]

 [[ 78  78  78]
  [ 70  70  70]
  [ 63  63  63]
  ...
  [ 71  71  71]
  [ 59  59  59]
  [ 45  45  45]]

 ...

 [[ 65  65  65]
  [ 90  90  90]
  [116 116 116]
  ...
  [ 48  48  48]
  [ 10  10  10]
  [ 14  14  14]]

 [[ 73  73  73]
  [ 90  90  90]
  [118 118 118]
  ...
  [ 47  47  47]
  [ 10  10  10]
  [ 14  14  14]]

 [[ 80  81  81]
  [ 94  94  94]
  [119 119 119]
  ...
  [ 49  49  49]
  [  9   9   9]
  [ 13  13  13]]]",1
18,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  6   6   6]
  [  3   3   3]
  [  0   0   1]]

 [[  1   1   1]
  [  0   0   0]
  [  1   1   1]
  ...
  [ 14  14  14]
  [ 14  14  14]
  [  3   3   3]]

 [[  1   1   1]
  [  2   2   2]
  [  3   3   3]
  ...
  [ 21  21  21]
  [ 10  10  10]
  [  6   5   6]]

 ...

 [[ 44  44  44]
  [ 87  87  87]
  [129 129 129]
  ...
  [191 191 191]
  [179 179 179]
  [161 160 161]]

 [[ 40  40  40]
  [ 84  84  84]
  [130 130 130]
  ...
  [194 194 194]
  [185 185 185]
  [165 165 166]]

 [[ 38  38  38]
  [ 79  79  79]
  [128 128 128]
  ...
  [196 196 196]
  [191 191 191]
  [171 170 171]]]",1
19,"[[[  9   4   2]
  [  9   4   1]
  [  9   4   1]
  ...
  [ 21  17  15]
  [ 14  10   8]
  [ 15  11   9]]

 [[  0   1   0]
  [  0   1   0]
  [  0   1   0]
  ...
  [ 24  24  25]
  [ 13  13  14]
  [ 15  15  15]]

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [ 20  20  20]
  [ 32  32  32]
  [ 50  50  50]]

 ...

 [[107 109 109]
  [124 124 124]
  [132 132 132]
  ...
  [ 85  85  85]
  [ 78  78  78]
  [ 64  64  64]]

 [[105 108 107]
  [120 120 120]
  [128 128 128]
  ...
  [ 85  85  85]
  [ 75  75  75]
  [ 64  64  64]]

 [[106 108 108]
  [118 118 118]
  [125 125 125]
  ...
  [ 86  86  86]
  [ 73  73  73]
  [ 65  65  65]]]",1
20,"[[[ 36  36  36]
  [ 35  35  35]
  [ 37  37  37]
  ...
  [ 34  34  34]
  [ 44  44  44]
  [ 41  40  39]]

 [[ 51  53  53]
  [ 57  57  57]
  [ 58  58  58]
  ...
  [ 62  62  62]
  [ 48  48  48]
  [ 52  51  51]]

 [[ 38  41  40]
  [ 41  41  41]
  [ 43  43  43]
  ...
  [ 52  52  52]
  [ 51  51  51]
  [ 60  59  58]]

 ...

 [[142 145 144]
  [134 134 134]
  [162 162 162]
  ...
  [109 109 109]
  [100 100 100]
  [ 84  84  83]]

 [[136 138 138]
  [143 143 143]
  [165 165 165]
  ...
  [113 113 113]
  [ 98  98  98]
  [ 95  94  94]]

 [[136 138 139]
  [149 150 151]
  [163 164 164]
  ...
  [108 109 109]
  [104 105 105]
  [ 88  88  89]]]",1
21,"[[[ 23  24  21]
  [ 21  22  19]
  [ 21  22  19]
  ...
  [ 29  30  27]
  [ 26  27  24]
  [ 25  26  25]]

 [[ 19  19  19]
  [ 26  26  27]
  [ 24  24  24]
  ...
  [ 35  35  35]
  [ 35  35  35]
  [ 33  32  34]]

 [[ 29  29  29]
  [ 23  23  23]
  [ 30  30  30]
  ...
  [ 51  51  51]
  [ 47  47  47]
  [ 43  42  44]]

 ...

 [[ 43  43  43]
  [ 87  87  87]
  [112 112 112]
  ...
  [ 38  38  38]
  [ 63  63  63]
  [ 88  87  89]]

 [[ 65  65  65]
  [106 106 106]
  [114 114 114]
  ...
  [ 29  29  29]
  [ 59  59  59]
  [ 86  86  88]]

 [[ 92  92  92]
  [111 111 111]
  [118 118 118]
  ...
  [ 20  20  20]
  [ 57  57  57]
  [ 74  73  75]]]",1
22,"[[[  1   1   1]
  [  1   1   1]
  [  2   2   2]
  ...
  [  8   8   8]
  [  1   1   1]
  [  0   0   0]]

 [[ 11  11  11]
  [ 13  13  13]
  [ 17  17  17]
  ...
  [ 40  40  40]
  [ 19  19  19]
  [  3   3   3]]

 [[ 25  25  25]
  [ 33  33  33]
  [ 53  53  53]
  ...
  [114 114 114]
  [ 71  71  71]
  [ 30  30  30]]

 ...

 [[ 33  33  33]
  [ 55  55  55]
  [ 78  78  78]
  ...
  [122 122 122]
  [ 82  82  82]
  [ 39  39  39]]

 [[ 33  33  33]
  [ 53  53  53]
  [ 71  71  71]
  ...
  [126 126 126]
  [ 87  87  87]
  [ 44  44  44]]

 [[ 29  29  29]
  [ 49  49  49]
  [ 68  68  68]
  ...
  [128 128 128]
  [ 88  88  88]
  [ 46  46  46]]]",1
23,"[[[ 84  84  84]
  [ 71  71  71]
  [ 80  80  80]
  ...
  [ 44  44  44]
  [ 45  45  45]
  [ 46  46  46]]

 [[ 92  92  92]
  [ 78  78  78]
  [ 79  79  79]
  ...
  [ 50  50  50]
  [ 47  47  47]
  [ 48  48  48]]

 [[ 96  96  96]
  [ 86  86  86]
  [ 91  91  91]
  ...
  [ 59  59  59]
  [ 53  53  53]
  [ 50  50  50]]

 ...

 [[150 150 150]
  [157 157 157]
  [167 167 167]
  ...
  [163 163 163]
  [155 155 155]
  [137 137 137]]

 [[152 152 152]
  [157 157 157]
  [162 162 162]
  ...
  [158 158 158]
  [153 153 153]
  [134 134 134]]

 [[154 154 154]
  [161 161 161]
  [168 168 168]
  ...
  [154 154 154]
  [152 152 152]
  [134 134 134]]]",1
24,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [ 26  26  26]
  [ 36  36  36]
  ...
  [ 21  21  21]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [ 68  68  68]
  [ 91  91  91]
  ...
  [ 76  76  76]
  [  1   1   1]
  [  1   1   1]]

 ...

 [[ 86  86  86]
  [129 129 129]
  [157 157 157]
  ...
  [  1   1   1]
  [  1   1   1]
  [ 18  18  18]]

 [[ 85  85  85]
  [130 130 130]
  [158 158 158]
  ...
  [  1   1   1]
  [  1   1   1]
  [  8   8   8]]

 [[ 83  83  83]
  [130 130 130]
  [160 160 160]
  ...
  [  1   1   1]
  [  1   1   1]
  [  3   3   3]]]",1
25,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 34  34  34]
  [ 34  34  34]
  [ 34  34  34]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 34  34  34]
  [ 34  34  34]
  [ 34  34  34]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 34  34  34]
  [ 34  34  34]
  [ 34  34  34]]

 ...

 [[166 166 166]
  [169 169 169]
  [173 173 173]
  ...
  [187 187 187]
  [191 191 191]
  [183 183 183]]

 [[163 163 163]
  [168 168 168]
  [172 172 172]
  ...
  [179 179 179]
  [188 188 188]
  [182 182 182]]

 [[162 162 162]
  [168 168 168]
  [172 172 172]
  ...
  [180 180 180]
  [186 186 186]
  [181 181 181]]]",1
26,"[[[ 51  51  51]
  [ 56  56  56]
  [ 69  69  69]
  ...
  [ 62  62  62]
  [ 25  25  25]
  [ 19  19  19]]

 [[ 72  72  72]
  [ 91  91  91]
  [ 99  99  99]
  ...
  [139 139 139]
  [ 71  71  71]
  [ 41  41  41]]

 [[ 96  96  96]
  [111 111 111]
  [128 128 128]
  ...
  [141 141 141]
  [ 78  78  78]
  [ 79  79  79]]

 ...

 [[ 98  98  98]
  [127 127 127]
  [156 156 156]
  ...
  [106 106 106]
  [112 112 112]
  [156 156 156]]

 [[101 101 101]
  [133 133 133]
  [163 163 163]
  ...
  [145 145 145]
  [121 121 121]
  [144 144 144]]

 [[ 96  96  96]
  [129 129 129]
  [158 158 158]
  ...
  [139 139 139]
  [134 134 134]
  [122 122 122]]]",1
27,"[[[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 29  29  29]
  [ 28  28  28]
  [ 31  31  31]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 14  14  14]
  [ 18  18  18]
  [ 16  16  16]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 15  15  15]
  [ 16  16  16]
  [ 18  18  18]]

 ...

 [[119 119 119]
  [123 123 123]
  [127 127 127]
  ...
  [130 130 130]
  [119 119 119]
  [ 85  85  85]]

 [[122 122 122]
  [126 126 126]
  [131 131 131]
  ...
  [131 131 131]
  [123 123 123]
  [ 91  91  91]]

 [[ 88  88  88]
  [ 91  91  91]
  [ 95  95  95]
  ...
  [ 97  97  97]
  [ 90  90  90]
  [ 72  72  72]]]",1
28,"[[[ 37  37  37]
  [ 47  47  47]
  [ 53  53  53]
  ...
  [ 57  57  57]
  [ 54  54  54]
  [ 38  38  38]]

 [[ 27  27  27]
  [ 29  29  29]
  [ 34  34  34]
  ...
  [ 51  51  51]
  [ 43  43  43]
  [ 38  38  38]]

 [[ 42  42  42]
  [ 43  43  43]
  [ 51  51  51]
  ...
  [ 69  69  69]
  [ 59  59  59]
  [ 53  53  53]]

 ...

 [[ 36  36  36]
  [ 55  55  55]
  [ 72  72  72]
  ...
  [149 149 149]
  [137 137 137]
  [124 124 124]]

 [[ 35  35  35]
  [ 57  57  57]
  [ 75  75  75]
  ...
  [154 154 154]
  [141 141 141]
  [128 128 128]]

 [[ 35  35  35]
  [ 59  59  59]
  [ 79  79  79]
  ...
  [157 157 157]
  [145 145 145]
  [133 133 133]]]",1
29,"[[[ 11  11  11]
  [ 58  58  58]
  [102 102 102]
  ...
  [  7   7   7]
  [  8   8   8]
  [ 10  10  10]]

 [[ 10  10  10]
  [ 58  58  58]
  [140 140 140]
  ...
  [  7   7   7]
  [  7   7   7]
  [  9   9   9]]

 [[  9   9   9]
  [ 57  57  57]
  [104 104 104]
  ...
  [  4   4   4]
  [  5   5   5]
  [  6   6   6]]

 ...

 [[ 17  17  17]
  [ 15  15  15]
  [ 14  14  14]
  ...
  [ 85  85  85]
  [ 52  52  52]
  [  1   1   1]]

 [[ 18  18  18]
  [ 15  15  15]
  [ 15  15  15]
  ...
  [ 89  89  89]
  [ 54  54  54]
  [  1   1   1]]

 [[ 21  21  21]
  [ 18  18  18]
  [ 17  17  17]
  ...
  [ 98  98  98]
  [ 66  66  66]
  [  5   5   5]]]",1
30,"[[[  0   0   0]
  [ 44  44  44]
  [  2   2   2]
  ...
  [  0   0   0]
  [  1   1   1]
  [  0   0   0]]

 [[  0   0   0]
  [  2   2   2]
  [  0   0   0]
  ...
  [  0   0   0]
  [  1   1   1]
  [  0   0   0]]

 [[  0   0   0]
  [  2   2   2]
  [  0   0   0]
  ...
  [ 12  12   8]
  [  6   7   4]
  [ 12  12   8]]

 ...

 [[ 38  38  25]
  [ 74  74  62]
  [108 108 102]
  ...
  [131 130 123]
  [ 99  99  77]
  [ 47  47  31]]

 [[ 21  20  14]
  [ 78  78  60]
  [100 100  95]
  ...
  [127 128 123]
  [ 79  79  67]
  [ 25  25  17]]

 [[  0   0   0]
  [ 42  42  42]
  [ 97  97  97]
  ...
  [129 129 129]
  [ 57  57  57]
  [  0   0   0]]]",1
31,"[[[ 31  31  31]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 29  29  29]
  [ 79  79  79]
  [118 118 118]]

 [[ 12  12  12]
  [  0   0   0]
  [  1   1   1]
  ...
  [ 51  51  51]
  [160 160 160]
  [171 171 171]]

 [[ 11  11  11]
  [  2   2   2]
  [  3   3   3]
  ...
  [ 65  65  65]
  [180 180 180]
  [203 203 203]]

 ...

 [[197 197 197]
  [209 209 209]
  [223 223 223]
  ...
  [  0   0   0]
  [  0   0   0]
  [ 42  42  42]]

 [[206 206 206]
  [218 218 218]
  [229 229 229]
  ...
  [  0   0   0]
  [  0   0   0]
  [ 42  42  42]]

 [[216 216 216]
  [226 226 226]
  [237 237 237]
  ...
  [  1   1   1]
  [  0   0   0]
  [ 49  49  49]]]",1
32,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [ 45  45  45]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [ 44  44  44]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  4   4   4]
  [  2   2   2]
  [ 47  47  47]]

 ...

 [[ 11  11  11]
  [ 52  52  52]
  [ 97  97  97]
  ...
  [118 118 118]
  [ 79  79  79]
  [ 81  81  81]]

 [[ 10  10  10]
  [ 49  49  49]
  [ 92  92  92]
  ...
  [116 116 116]
  [ 76  76  76]
  [ 79  79  79]]

 [[ 27  27  27]
  [ 61  61  61]
  [101 101 101]
  ...
  [123 123 123]
  [ 87  87  87]
  [ 92  92  92]]]",1
33,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 32  32  32]
  [ 33  33  33]
  [ 51  51  51]]

 [[  3   3   3]
  [ 12  12  12]
  [ 13  13  13]
  ...
  [ 48  48  48]
  [ 88  88  88]
  [ 59  59  59]]

 [[ 10  10  10]
  [ 18  18  18]
  [ 21  21  21]
  ...
  [ 49  49  49]
  [113 113 113]
  [ 64  64  64]]

 ...

 [[ 15  15  15]
  [ 40  40  40]
  [ 76  76  76]
  ...
  [164 164 164]
  [131 131 131]
  [130 130 130]]

 [[ 14  14  14]
  [ 38  38  38]
  [ 72  72  72]
  ...
  [164 164 164]
  [132 132 132]
  [127 127 127]]

 [[ 13  13  13]
  [ 35  35  35]
  [ 66  66  66]
  ...
  [162 162 162]
  [133 133 133]
  [124 124 124]]]",1
